Year,Month,Day,Weekend?,Hour,Primary Factor,Latitude,Longitude

2015,1,5,1,0,1,39.15920668,-86.52587356

2015,1,6,1,1500,2,39.16144,-86.534848

2015,1,6,0,2300,3,39.14978027,-86.56889006

2015,1,7,0,900,4,39.165655,-86.57595635

2015,1,7,0,1100,4,39.164848,-86.57962482

2015,1,6,1,1800,4,39.12666969,-86.53136998

2015,1,6,1,1200,5,39.150825,-86.584899

2015,1,6,1,1400,6,39.19927216,-86.63702393

2015,1,7,0,1400,2,39.16461021,-86.57913007

2015,1,7,0,1600,7,39.16344009,-86.55128002

2015,1,7,0,1500,8,39.145264,-86.577616

2015,1,7,0,1600,4,39.136048,-86.518496

2015,1,7,0,1700,8,39.16664,-86.53070106

2015,1,7,0,1800,7,39.12678972,-86.58258006

2015,1,1,0,1300,3,39.15379018,-86.53875008

2015,1,1,0,1500,2,39.107344,-86.5264

2015,1,1,0,1800,9,39.179248,-86.547104

2015,1,1,0,1800,2,39.179248,-86.547104

2015,1,1,0,1600,10,39.17830276,-86.52934265

2015,1,1,0,1600,7,39.145264,-86.577616

2015,1,1,0,1800,7,39.09571236,-86.54595204

2015,1,1,0,1200,2,39.12144,-86.526496

2015,1,2,1,700,4,39.16692661,-86.4572165

2015,1,1,0,700,11,39.02843027,-86.40780689

2015,1,2,1,700,12,39.121584,-86.489744

2015,1,2,1,1300,4,39.16424,-86.49312041

2015,1,2,1,1700,4,39.17093258,-86.509391

2015,1,1,1,2100,11,39.15263367,-86.49272919

2015,1,2,1,1700,2,39.13608,-86.538096

2015,1,1,1,2000,1,39.125312,-86.610496

2015,1,2,1,1900,7,39.17187028,-86.4167107

2015,1,2,1,1700,2,39.16461021,-86.57913007

2015,1,2,1,2100,11,39.121648,-86.539088

2015,1,7,0,2000,7,38.992016,-86.537248

2015,1,3,1,700,11,39.168656,-86.5468

2015,1,3,1,1200,11,39.17900187,-86.52832631

2015,1,3,1,1500,2,39.171632,-86.523536

2015,1,2,1,2100,7,39.134144,-86.642864

2015,1,7,0,1800,13,39.14192595,-86.54314176

2015,1,3,1,1900,11,39.19115236,-86.51175974

2015,1,2,1,1500,8,39.14728113,-86.58089831

2015,1,2,1,1500,4,39.215152,-86.5928

2015,1,3,1,1900,14,39.21210074,-86.58736299

2015,1,4,1,0,11,39.208048,-86.528704

2015,1,4,1,400,7,39.0881573,-86.66901213

2015,1,3,1,1000,8,39.18768311,-86.54618835

2015,1,4,1,1700,15,39.16427777,-86.52588752

2015,1,4,1,1800,8,39.15412578,-86.49786768

2015,1,3,1,1800,2,39.105552,-86.551104

2015,1,4,1,1600,2,39.16664,-86.462496

2015,1,4,1,1500,2,39.263024,-86.52264

2015,1,5,1,700,14,39.12141994,-86.53134987

2015,1,5,1,600,14,39.165664,-86.5348

2015,1,5,1,900,2,39.16424,-86.473296

2015,1,5,1,900,3,39.159248,-86.51256

2015,1,5,1,900,4,39.169552,-86.533552

2015,1,5,1,800,4,39.173552,-86.515488

2015,1,7,0,0,4,39.16424,-86.495088

2015,1,5,1,1400,2,0,0

2015,1,4,1,2200,7,39.053744,-86.606304

2015,1,5,1,1800,1,39.16311481,-86.50846175

2015,1,5,1,2000,16,39.25962636,-86.65763204

2015,1,6,1,700,1,39.12144,-86.526496

2015,1,6,1,800,2,0,0

2015,1,6,1,800,2,39.16344009,-86.55127137

2015,1,1,0,1300,17,39.15835953,-86.58264923

2015,1,5,1,1300,1,39.16074984,-86.54850997

2015,1,6,1,700,16,39.16475122,-86.59523284

2015,1,6,1,1200,4,39.15063632,-86.52720688

2015,1,6,1,1300,2,39.164752,-86.573104

2015,1,6,1,1500,2,39.16344009,-86.55127137

2015,1,6,1,1500,4,39.16305989,-86.51773028

2015,1,6,1,1500,7,39.12134014,-86.48974361

2015,1,4,1,0,4,39.20824,-86.554704

2015,1,4,1,800,9,0,0

2015,1,7,0,1100,2,39.15836229,-86.53136998

2015,1,6,0,2100,14,39.16427137,-86.51420373

2015,1,1,0,1800,11,39.21258773,-86.46348219

2015,1,7,0,1600,2,39.15648401,-86.58270442

2015,1,7,0,1500,4,39.16464,-86.529728

2015,1,6,0,2000,7,39.193408,-86.48584

2015,1,7,0,1700,14,39.16115717,-86.53485253

2015,1,1,0,100,15,39.168704,-86.538576

2015,1,1,0,1000,17,39.16864,-86.533568

2015,1,1,1,2000,15,39.14547579,-86.57703014

